payment_installments,payment_sequential,order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,payment_type,payment_value,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
5.0,1.0,34276839abbc2d596eb36540d36c624c,6968ea6ff6368619de4d031a15d5c9a6,delivered,2017-10-04 23:02:21,2017-10-04 23:14:17,2017-10-05 18:37:19,2017-10-20 16:18:59,2017-11-09,1.0,83b00325c13c44245b2c3a2befa62a0e,ad781527c93d00d89a11eecd9dcad7c1,2017-10-10 23:14:17,159.99,57.79,credit_card,217.78,0ff40d9f7ee1ee12758975666d75b938,5.0,,,2017-10-21 00:00:00,2017-10-21 17:33:42
8.0,1.0,1370fae9b19ee5e01a2d609eb18b7c8a,22eb8142d6313bab19fa6c657170ae6b,delivered,2017-11-15 13:47:34,2017-11-15 13:55:31,2017-11-17 15:12:12,2017-12-06 01:12:12,2017-12-14,1.0,a50acd33ba7a8da8e9db65094fa990a4,8581055ce74af1daba164fdbd55a40de,2017-11-21 13:55:31,117.3,28.2,credit_card,145.5,db7f4933045338d6d98665430f6e0b9b,4.0,,Ótimo produto ,2017-12-07 00:00:00,2017-12-09 18:49:32
1.0,1.0,5561adcb0fd46da4cad3048fa4e7fc00,819b0aa9b717f6d78c0f72211bafebe3,delivered,2018-06-25 15:36:18,2018-06-25 15:58:17,2018-06-26 14:58:00,2018-06-27 17:18:42,2018-07-11,1.0,4d071a22b9cc548b64a75075a4c63151,131fcb0a0c9a47bba4474aacff0f14b7,2018-07-02 15:58:17,99.9,9.45,credit_card,109.35,63948eb9cc4cf068c039f9f324ce7ed2,5.0,,Entrega muito rapida ,2018-06-28 00:00:00,2018-06-29 12:41:43
1.0,1.0,36ebb4199031e72a1fa964549b88c377,eecf2b94cdbe9ef6245fabb5e091c987,delivered,2018-04-04 08:39:50,2018-04-04 08:50:15,2018-04-07 00:49:39,2018-04-16 23:35:26,2018-05-02,1.0,e7db7c40ea6647c808d48581f1308d88,1d8dbc4f32378d715c717c1c1fc57bae,2018-04-10 08:50:15,109.9,23.35,voucher,133.25,b6d8546f6788bc93f9f1ed33d4a4b51f,5.0,,Ótimo!!!,2018-04-17 00:00:00,2018-04-18 03:48:15
1.0,1.0,232b75e8b6faa6ca2063184414e634a7,0a11cb0fb65032da800b780afcc1a1b7,delivered,2017-09-26 12:32:39,2017-09-27 03:35:03,2017-10-04 08:03:59,2017-10-09 18:32:42,2017-10-20,1.0,952670bc019a73f0933157ec82ff6e4f,37be5a7c751166fbc5f8ccba4119e043,2017-10-04 03:35:03,159.0,21.95,boleto,180.95,bde5323864041eb916a128fa9ddb81ed,5.0,,,2017-10-10 00:00:00,2017-10-11 10:56:12
1.0,1.0,58d4c4747ee059eeeb865b349b41f53a,1755fad7863475346bc6c3773fe055d3,delivered,2018-07-21 12:49:32,2018-07-26 23:31:53,2018-07-24 12:57:00,2018-07-25 23:58:19,2018-07-31,1.0,1613b819ab5dae53aead2dbb4ebdb378,16090f2ca825584b5a147ab24aa30c86,2018-07-26 03:45:26,27.9,7.46,boleto,35.36,9c5896eab584422a7f679b658edaf0a8,5.0,Veio certo,,2018-08-01 00:00:00,2018-08-01 18:41:07
3.0,1.0,f9f76d0f8ab416a42a2a3dad0d710162,e4a32f8f3648818820a821cd577ccdba,delivered,2017-11-30 22:37:50,2017-12-01 10:31:12,2017-12-01 20:13:00,2017-12-08 20:56:54,2017-12-26,1.0,330286b1345b8cc5abfbb74da93465a6,71039d19d4303bf9054d69e9a9236699,2017-12-06 22:51:28,269.9,16.64,credit_card,286.54,708021e3040d153af51c8ab76e13f312,3.0,,,2017-12-09 00:00:00,2017-12-11 23:50:35
7.0,1.0,c93e4c73cba512f76817291e0de8bec4,9f5a2f912f123d541a318029712fe90b,delivered,2017-09-12 16:32:09,2017-09-12 16:45:08,2017-09-13 22:39:49,2017-09-22 16:43:37,2017-10-04,1.0,f1f01d27cb8664e16d57ef4a8075f3be,46dc3b2cc0980fb8ec44634e21d2718e,2017-09-18 16:44:39,279.99,21.2,credit_card,301.19,02b3d19a82bd3b062fa35f8aa84732d2,5.0,,como sempre amaricanas é impecavel no atendimento na venda e na entrega,2017-09-23 00:00:00,2017-09-26 20:14:05
6.0,1.0,b06112f703115e6d92f3baf4e2458a5a,1224a9f43655b57c469ab096e6ba5dc2,delivered,2018-03-07 12:08:37,2018-03-07 12:29:55,2018-03-08 19:58:35,2018-03-13 18:56:39,2018-03-21,1.0,f40876e0ef3cd5f9132b1f16b04b1346,620c87c171fb2a6dd6e8bb4dec959fc6,2018-03-13 12:29:55,109.9,10.97,credit_card,241.74,fb023be480195764ded0caa99283ee26,5.0,,"Entrega rápida e bem antes do previsto, estou bem satisfeita!",2018-03-14 00:00:00,2018-03-17 15:26:43
5.0,1.0,fb9b2930f4a30f96c7cc98eaaa85e5f0,02ed2cff54eb047cdbe79dd0535945d4,delivered,2017-11-24 14:15:53,2017-11-24 16:19:01,2017-11-30 18:18:50,2017-12-17 10:47:53,2017-12-14,1.0,6f9771652ad5ec58e58f50475d6bfe0e,cca3071e3e9bb7d12640c9fbe2301306,2017-11-30 16:19:01,70.91,13.52,credit_card,84.43,e54809fcd83a68a080af411caad915f6,1.0,,Comprei um KiT de 3 Almofadas Azul Mandala e recebi um outro com almofadas diferentes (inclusive as cores) Nâo sei lidar com INCOMPETÊNCIA!!!!,2017-12-16 00:00:00,2017-12-19 18:08:13
6.0,1.0,1d251ab94983c4adb11e4b168abb1439,230ab395e91b2421bd00ea45b60b23cb,delivered,2018-03-07 23:46:19,2018-03-08 00:49:38,2018-03-08 20:12:34,2018-03-16 13:58:58,2018-03-28,1.0,fb92dc4602bd9224e0e267496748afc5,8ae520247981aa06bc94abddf5f46d34,2018-03-14 00:49:38,219.0,19.41,credit_card,118.56,9ff966b8034d68cdb96a90208a86fd5f,5.0,,,2018-03-17 00:00:00,2018-03-19 17:51:45
2.0,1.0,c26b94aa87e95d1c1eb1b592f43eb223,7aed8da5ae4e0e34226c47f3bf041956,delivered,2017-06-29 00:10:49,2017-06-29 00:23:33,2017-06-29 15:41:19,2017-07-10 17:36:56,2017-07-19,1.0,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,2017-07-05 00:23:33,89.9,12.13,credit_card,204.06,dbc7c9c6472b461c9a92de317f0cf176,5.0,,atendimento ótimo em todos os sentido,2017-07-11 00:00:00,2017-07-12 02:45:48
7.0,1.0,fb6ba131bbeb30fd6db9c8900b5c5b92,af5b08db5f1a31a3b6856a8a6dc33167,delivered,2018-05-30 02:41:28,2018-05-30 03:24:11,2018-05-30 13:39:00,2018-06-22 22:41:09,2018-07-18,1.0,99ba5fbf3ae895fe3a9289acd0a5eb91,562fc2f2c2863ab7e79a9e4388a58a14,2018-06-07 03:24:11,39.99,37.04,credit_card,77.03,c581c7eb3f5b534df5c145f42866b6e6,5.0,,,2018-06-23 00:00:00,2018-06-24 16:30:52
1.0,1.0,aa466a92af916f9f68e56fce7d3a21b1,2c5491a76ec0a56db58282ea7ae70617,delivered,2018-07-03 01:17:32,2018-07-03 01:30:35,2018-07-03 13:58:00,2018-07-11 22:52:20,2018-08-08,1.0,4f84ff0aab6b53675317e34f2406ea99,52f9db5cfb423382a2fa5c9e39303202,2018-07-05 01:30:35,139.99,19.08,credit_card,159.07,490e45ee8621e2f578f73c23e1f4870d,4.0,,,2018-07-12 00:00:00,2018-07-13 02:25:14
1.0,1.0,31ef15cb5a3faa4df17e96b09cd8c1a1,19c6be9e0d7588d54ad848d44abeae95,delivered,2017-11-29 18:27:30,2017-11-29 19:31:02,2017-11-30 22:32:54,2017-12-11 21:44:51,2017-12-22,1.0,da023890ca0515244ea89dc905faceba,8b321bb669392f5163d04c59e235e066,2017-12-05 19:31:02,19.9,14.1,credit_card,34.0,018eedb7b3e9d6634c806e61914f2e39,4.0,,,2017-12-12 00:00:00,2017-12-13 12:58:25
5.0,1.0,74c951ce0835b2741d3014321ae9c480,e26eb46e8146dedecc6524e5d9771047,delivered,2018-08-20 17:38:55,2018-08-20 17:50:28,2018-08-21 13:09:00,2018-08-22 19:29:04,2018-08-24,1.0,b4bcc9155de9c60e343ecbff22b86dc8,f8db351d8c4c4c22c6835c19a46f01b0,2018-08-23 17:50:28,129.9,9.66,credit_card,139.56,607ea8046a80dce6fc8472bb62d4b37b,5.0,,,2018-08-23 00:00:00,2018-08-26 03:57:51
7.0,1.0,3d087f98b006ae162b5e3b56e7bfdb4a,993a76ab0714792eb45d4ebdd58e9a1c,delivered,2018-01-05 11:04:11,2018-01-05 11:15:29,2018-01-05 21:33:18,2018-01-23 17:41:57,2018-02-14,1.0,306599a052830af3cfebe42ee7a79dde,53e4c6e0f4312d4d2107a8c9cddf45cd,2018-01-11 11:15:29,55.0,17.64,credit_card,72.64,66ee59190907135b6397ba164ea7f66b,5.0,,,2018-01-24 00:00:00,2018-01-25 09:32:53
1.0,1.0,2babe10ce6bcb68b1e3bd35e24424466,debcdbb31583da1dbb6560b95ee39b18,delivered,2018-08-09 22:52:27,2018-08-09 23:05:11,2018-08-13 19:05:00,2018-08-15 00:27:44,2018-08-20,1.0,c985e917daf44dfe2779833209017098,95ec4458365c4d11f452ccf538377619,2018-08-15 23:05:11,18.9,7.39,credit_card,26.29,5df4eb9bb8d393c6621b8b36c31afe77,4.0,,,2018-08-16 00:00:00,2018-08-21 20:05:06
1.0,1.0,b0ff8ff92f8d916fa2e8005cd8e1a135,610a4163b8ab832daf93b4fbb48e9119,delivered,2017-11-19 16:12:34,2017-11-22 02:58:38,2017-11-22 14:47:28,2017-11-24 20:32:37,2017-12-07,1.0,b6e352d888ba31d8999af279cd63aa24,f61c63d13f7cd800549d5acdd390ae72,2017-11-28 02:58:38,59.9,13.44,boleto,73.34,10d180113e55838dca1365b09198e4c5,4.0,,,2017-11-25 00:00:00,2017-11-27 11:56:36
4.0,1.0,197edbaa61a8a349f382553fd2180ee1,42bb82a17b70bebcc6090d38d894ea3f,delivered,2018-07-02 13:58:59,2018-07-02 14:10:56,2018-07-09 13:22:00,2018-07-11 14:18:51,2018-07-23,1.0,22a8168cf1f1c6347da8d29863b7f75e,612170e34b97004b3ba37eae81836b4c,2018-07-11 14:10:56,296.5,9.66,credit_card,306.16,c14dacc8a1cd7bbbe585c409d59c058a,4.0,,,2018-07-12 00:00:00,2018-07-12 18:55:14
4.0,1.0,e659b8223be6f632acb24fb80cf50ca9,9ac71dee8847ffe35fb2c087da733cc4,delivered,2017-11-18 11:30:58,2017-11-18 11:47:19,2017-11-20 14:59:10,2017-12-08 17:29:17,2017-12-18,1.0,d899e614656fe7bddd577dcfe583d19c,6a8b085f816a1f75f92dbac6eb545f8f,2017-11-23 11:47:19,61.5,25.71,credit_card,87.21,d79e6cac2ec6fe4bb0d2265096e814fa,5.0,,ESPETACULAR.,2017-12-09 00:00:00,2017-12-09 22:07:31
1.0,1.0,f97a6e53615dfc1488e4bcf3dfe1cb2f,f3223fd3b2517fa73ebb06dd5f1b0e99,delivered,2017-09-11 09:40:11,2017-09-12 04:30:15,2017-09-12 19:21:32,2017-09-19 19:54:09,2017-10-09,1.0,0900e9b18da6627157a7e47a8ac8fc08,6560211a19b47992c3666cc44a7e94c0,2017-09-18 04:30:15,29.0,15.1,boleto,44.1,f791ec9899594856f313688ed11b37a9,4.0,,,2017-09-20 00:00:00,2017-09-21 01:53:09
1.0,1.0,72344ea1113e3227494c465a64ae58aa,99907dc980230daa7bc0c7e6fb0b08fc,delivered,2018-01-13 15:43:58,2018-01-13 15:51:33,2018-01-15 23:04:22,2018-01-23 16:32:29,2018-02-08,1.0,4011494d902f1075a502ffe9432186b3,f5a590cf36251cf1162ea35bef76fe84,2018-01-18 15:51:33,49.0,15.79,credit_card,64.79,70d7eecba63dc0c6cf4b13497e572830,5.0,,,2018-01-24 00:00:00,2018-01-26 21:47:39
2.0,1.0,b3fb87dd5ffb58351fd40c4f9fe03cdf,156a795ddee88514dace920fe888c46e,delivered,2018-06-19 00:26:23,2018-06-19 00:54:46,2018-06-19 16:16:00,2018-06-24 17:41:36,2018-07-11,1.0,d3e1006ba3735c0d44160026b6e0ced3,c003204e1ab016dfa150abc119207b24,2018-06-25 00:54:46,108.9,11.78,credit_card,120.68,0b2f41a6b6eada42ee8c86a22888d1da,5.0,,,2018-06-25 00:00:00,2018-06-26 11:21:26
3.0,1.0,690199d6a2c51ff57c6b392d7680cbfd,19bacb562bd43bd4eaf05b6c0a59dad0,delivered,2018-03-16 11:31:18,2018-03-16 11:49:14,2018-03-19 19:56:23,2018-05-14 12:28:56,2018-04-11,1.0,75d6b6963340c6063f7f4cfcccfe6a30,cc419e0650a3c5ba77189a1882b7556a,2018-03-23 11:49:14,54.99,18.26,credit_card,73.25,aa0aefb73af27de135df1f14af576264,5.0,,,2018-04-13 00:00:00,2018-04-17 17:23:15
5.0,1.0,f112b9fc8967a675670bedf5a2bc6b2b,4913f37a6cb9e2ba061770efb2ea4e58,delivered,2017-02-17 17:37:52,2017-02-17 17:50:12,2017-02-20 10:27:58,2017-03-10 13:06:28,2017-03-24,1.0,88a1223b29fac4c3abef8d1369dbbaea,5abb8ea023c77787f2c15da891c8d384,2017-02-21 16:37:52,59.0,36.24,credit_card,95.24,2f32b6e5dc5bcb037475ef62a1cca81b,5.0,,Muito bom! produto de boa qualidade e entregue no prazo.,2017-03-11 00:00:00,2017-03-13 13:11:46
4.0,1.0,8adafb3466daa5395694d3a906ff9d40,b7919647bde69acc948baa47823d6c75,delivered,2017-01-25 15:47:27,2017-01-25 16:02:29,2017-02-07 08:09:23,2017-02-14 14:03:35,2017-03-23,1.0,5554c5718f820a868853dbc5ca859b3b,973f21788dfab357250f69a8dcb7ddee,2017-01-29 15:47:27,21.0,6.25,credit_card,218.0,6e0aa1e1ab7c533224d933fe5606d539,3.0,,"Recebi 5 anilhas, faltou apenas 1 de 3kg",2017-02-15 00:00:00,2017-02-16 15:24:27
1.0,1.0,d4922affdd87d3e42657243354c7acd1,3a6586139c630a9648d74d1da4a11cd8,delivered,2018-07-01 21:12:33,2018-07-01 21:29:50,2018-07-03 10:15:00,2018-07-06 16:50:48,2018-07-30,1.0,f999580a69ce2d199677c5b6a5472aee,634964b17796e64304cadf1ad3050fb7,2018-07-05 21:29:50,35.9,23.05,credit_card,58.95,2b30a42c98de27df792afa8d700eb4fd,5.0,,,2018-07-07 00:00:00,2018-07-07 20:24:51
2.0,1.0,f847298c3beb552989d31c5f673da6fc,c2ea1149b67ac4b480ff15b3b31110ee,delivered,2018-03-14 11:22:37,2018-03-14 12:00:25,2018-03-14 23:42:30,2018-04-02 22:17:31,2018-04-03,1.0,ed2067a9c1f79553088a3c67b99a9f97,cbd996ad3c1b7dc71fd0e5f5df9087e2,2018-03-20 12:00:25,56.97,19.37,credit_card,76.34,f0716aa2ead811b1c13f9af4da9a1dbe,4.0,,,2018-04-03 00:00:00,2018-04-05 20:25:51
5.0,1.0,4df92d82d79c3b52c7138679fa9b07fc,ba0660bf3fffe505ee892e153a2fbd49,delivered,2018-07-24 11:32:11,2018-07-29 23:30:52,2018-07-26 14:46:00,2018-07-27 18:55:57,2018-08-06,1.0,de533fe5b9448ea9792195806938dbf5,1025f0e2d44d7041d6cf58b6550e0bfa,2018-07-31 12:55:27,196.8,12.4,credit_card,109.2,b45c75845de7e21f4823abad933fb58d,5.0,,,2018-08-08 00:00:00,2018-08-08 14:34:42
1.0,2.0,4df92d82d79c3b52c7138679fa9b07fc,ba0660bf3fffe505ee892e153a2fbd49,delivered,2018-07-24 11:32:11,2018-07-29 23:30:52,2018-07-26 14:46:00,2018-07-27 18:55:57,2018-08-06,1.0,de533fe5b9448ea9792195806938dbf5,1025f0e2d44d7041d6cf58b6550e0bfa,2018-07-31 12:55:27,196.8,12.4,voucher,100.0,b45c75845de7e21f4823abad933fb58d,5.0,,,2018-08-08 00:00:00,2018-08-08 14:34:42
8.0,1.0,f833a0260cb98fa615a517d4e4a8cdf3,6b74fa3521fe75edbeff9948022f13d1,delivered,2017-05-03 14:31:43,2017-05-03 14:42:38,2017-05-04 13:08:12,2017-05-10 11:34:12,2017-06-05,1.0,f7e0fa615b386bc9a8b9eb52bc1fff76,87142160b41353c4e5fca2360caf6f92,2017-05-09 14:42:38,89.9,21.08,credit_card,110.98,6cddbe204d2cfe1f9d39d11cceb2506b,5.0,,Excelente aquisicao,2017-05-11 00:00:00,2017-05-13 03:46:08
2.0,1.0,9472d3c8a0ad463cbfc89897334431da,7e016f9ea275279784f42e0642214284,delivered,2017-11-20 16:21:04,2017-11-21 09:50:30,2017-11-22 19:48:47,2017-12-21 14:22:54,2017-12-12,1.0,9036be77e0a74cca6eeef0740649b97b,de23c3b98a88888289c6f5cc1209054a,2017-11-27 09:50:30,69.99,19.03,credit_card,20.03,7e3b4393a443a81b64ff829f2636542a,1.0,,AINDA NAO RECEBI O PRODUTO.,2017-12-14 00:00:00,2017-12-15 13:00:18
5.0,2.0,9472d3c8a0ad463cbfc89897334431da,7e016f9ea275279784f42e0642214284,delivered,2017-11-20 16:21:04,2017-11-21 09:50:30,2017-11-22 19:48:47,2017-12-21 14:22:54,2017-12-12,1.0,9036be77e0a74cca6eeef0740649b97b,de23c3b98a88888289c6f5cc1209054a,2017-11-27 09:50:30,69.99,19.03,credit_card,68.99,7e3b4393a443a81b64ff829f2636542a,1.0,,AINDA NAO RECEBI O PRODUTO.,2017-12-14 00:00:00,2017-12-15 13:00:18
4.0,1.0,769cad60df1d40dccfd5ec163be24654,ce0518f0279ef8b73d94633720e70b9f,delivered,2017-09-03 15:21:44,2017-09-03 15:30:14,2017-09-19 23:57:50,2017-09-25 20:56:56,2017-10-10,1.0,26a4f62a409a78816adb31e0d729a163,b45d7ebfb7378630f1bcd74b6ff86ff7,2017-09-26 15:30:14,299.9,24.42,credit_card,324.32,cc2de831c8b0b01df23b36c508d4a9da,4.0,,,2017-09-26 00:00:00,2017-10-02 12:31:56
6.0,1.0,91bcade2288597459e1dbce52d6d0ef9,449057269c318304d8a753f64c181b07,delivered,2018-01-04 13:14:34,2018-01-04 13:29:16,2018-01-10 20:24:19,2018-02-09 00:44:50,2018-02-02,1.0,c063e7cfa2a5277de17cde1837399dc5,79ebd9a61bac3eaf882805ed4ecfa12a,2018-01-10 13:29:16,124.9,38.42,credit_card,163.32,f7ddca0a3f78ea769f4418ec2044658a,1.0,,o produto não chegou,2018-02-04 00:00:00,2018-02-05 00:49:17
2.0,1.0,df6e64a3be9ccea48c3bfe8e096e8749,1f184001b4cbba29eb3ddefd7b0a195b,delivered,2017-08-16 08:00:13,2017-08-16 08:10:14,2017-08-21 13:54:56,2017-09-01 20:41:04,2017-09-08,1.0,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,2017-08-22 08:10:14,89.9,17.88,credit_card,107.78,c8c869924688499bd7654a15bc67dcc1,5.0,,,2017-09-02 00:00:00,2017-09-04 12:22:52
1.0,1.0,118045506e1c1dda060171af43fe11b4,638c6674418fc58283a73c078bcb076f,delivered,2018-03-08 19:06:05,2018-03-09 19:08:26,2018-03-13 21:24:28,2018-04-11 12:53:50,2018-04-04,4.0,2c4930c4b284c7b99db2a4c52071a45e,2a261b5b644fa05f4f2700eb93544f2c,2018-03-15 19:08:26,45.0,27.08,credit_card,360.4,a161c704cfc720444aa3a4492f2fb4f8,1.0,,Eu pedi 6 trios de pendentes e vcs só M entregaram 6 unidades este não foi meu pedido nem meu pagamento,2018-03-24 00:00:00,2018-03-25 22:48:48
8.0,1.0,16e38caa92e342c7780f68832f832d4d,d29935fdaf4a76f34653da3def4f2a24,delivered,2018-05-07 01:09:09,2018-05-07 16:52:39,2018-05-07 15:09:00,2018-05-24 00:31:18,2018-06-07,1.0,4a1ccd2d546bbea7809a0cf98863eb50,b1a81260566c1bac3114a6d124413f27,2018-05-11 16:52:39,189.9,53.46,credit_card,243.36,c01eaa86159b994afb4c5eb920993ebc,5.0,,,2018-05-25 00:00:00,2018-05-25 03:45:28
1.0,1.0,6ac882284d5fcde113962e178ba0edbb,1bd00f336a9c3b3c35a720f715e7fe58,delivered,2017-12-07 15:40:14,2017-12-12 03:49:32,2017-12-13 22:07:57,2017-12-20 19:05:03,2018-01-09,1.0,88bcd4cc43e257bf69ac62b2540f1c14,86ccac0b835037332a596a33b6949ee1,2017-12-18 03:49:32,33.5,15.1,boleto,48.6,4a26f927e05475a99317fcb4c0ec39a8,1.0,,,2017-12-21 00:00:00,2017-12-21 21:48:12
3.0,1.0,a98012aa8c697f2bcff9f8c2183e0f2b,3e337c99e0f5ff7ba9a4b98fbf7412fd,delivered,2018-05-13 22:50:32,2018-05-13 23:11:49,2018-05-14 11:49:00,2018-05-18 22:46:45,2018-06-01,5.0,643a66b1dc5dad3de6cb5a41549e72f1,cb6c9f5888a7a090c75beaf615925792,2018-05-17 23:11:49,29.95,7.84,credit_card,158.97,7cdc38c51e3d0acefd5976d4a01d11dd,1.0,O pedido chegou faltando ,"O pedido, não chegou com a quantidade correta. Faltou o Suporte De Peito Cinta Peitoral Para Camera Gopro Go Pro, faltou um Adaptador Conector P2 Macho P10 Femea Estereo Microfone sendo 3.",2018-05-19 00:00:00,2018-05-22 01:32:42
1.0,1.0,d0d828105d7a6106d4b6cfd55607c278,e7fb8d2c8a581e31b93defd84ee988fe,delivered,2018-04-30 11:18:47,2018-04-30 11:35:38,2018-04-30 19:02:00,2018-05-02 20:24:30,2018-05-09,1.0,35c4a5bb0f191b77c8900661f047250b,730937bf88cb151eb2eb849f642fc213,2018-05-07 11:30:36,72.5,9.26,credit_card,163.52,8b661613e0094529f241dd9b5f757fe3,5.0,Excelente atendimento,"Superou minhas expectativas, voltarei a fazer negócio com certeza!",2018-05-03 00:00:00,2018-05-03 23:56:52
